keys_to_consider
art department
art direction
assistant director
camera and electrical department
cast
casting department
casting director
cinematographer
composer
costume department
costume designer
creator
director
editor
editorial department
location management
make up
miscellaneous crew
music department
producer
production design
production manager
script department
set decoration
sound crew
special effects
stunt performer
visual effects
writer
